item_id,task_type,dataset_name,dataset_split,source_index,source_id,prompt_text,reference_answer,random_seed
factual_qa_8554,factual_qa,mandarjoshi/trivia_qa,validation,8554,odql_12145,Which Chilean socialist leader was deposed and killed by General Pinochet during a U.S. backed coup in 1973?,(Salvador) Allende,20260623
factual_qa_8562,factual_qa,mandarjoshi/trivia_qa,validation,8562,odql_12228,Matt Busby played for Manchester City from 1928 to 1936. Which club did he play for from 1936 to 1941?,Liverpool,20260623
factual_qa_8574,factual_qa,mandarjoshi/trivia_qa,validation,8574,odql_12322,Which U.S. president was born Leslie Lynch King Jr.?,(Gerald) Ford,20260623
factual_qa_298,factual_qa,mandarjoshi/trivia_qa,validation,298,qz_438,"From which country do French fries originate? France, Belgium or Switzerland?",Switzerland,20260623
factual_qa_299,factual_qa,mandarjoshi/trivia_qa,validation,299,qz_453,For what novel did J. K. Rowling win the 1999 Whitbread Children's book of the year award?,Harry Potter and the Prisoner of Azkaban,20260623
math_reasoning_1226,math_reasoning,openai/gsm8k,train,1226,1226,"Nina makes one-of-a-kind jewelry and sells it at a local boutique. She charges $25.00 for her necklaces, $15.00 for bracelets and $10.00 for a pair of earrings. Over the weekend, she sold 5 necklaces, 10 bracelets, 20 earrings, and received 2 orders for a complete jewelry ensemble that Nina charged $45.00 for. How much money did she make over the weekend?",565,20260623
math_reasoning_1227,math_reasoning,openai/gsm8k,train,1227,1227,"Francine has five full boxes of crayons and 5 loose crayons, and her friend has 27 loose crayons. They need to put all of their loose crayons in a box. How many more boxes do they need if Francine has a total of 85 crayons?",2,20260623
math_reasoning_1228,math_reasoning,openai/gsm8k,train,1228,1228,"Making an equal number of drums of paint each day, a paint mixer takes three days to make 18 drums of paint. How many days will it take for him to make 360 drums of paint?",60,20260623
math_reasoning_1229,math_reasoning,openai/gsm8k,train,1229,1229,"Itzayana is 4 inches taller than Zora, who is 8 inches shorter than Brixton. If Zara is 64 inches tall and has the same height as Brixton, calculate the average height of the four people.",61,20260623
math_reasoning_1230,math_reasoning,openai/gsm8k,train,1230,1230,"Casey wants to decorate her toenails and fingernails. First, she wants to do a base coat on each nail, then a coat of paint and finally a coat of glitter on every nail. It takes 20 minutes to apply each coat and 20 minutes for each coat to dry before applying the next one. Assuming Casey's nails will be done when all coats have been applied and dried, how many minutes will it take her to finish decorating her fingernails and toenails?",120,20260623
code_generation_30,code_generation,bigcode/humanevalpack,test,30,Python/30,"Write a Python function `get_positive(l: list)` to solve the following problem: Return only positive numbers in the list. >>> get_positive([-1, 2, -4, 5, 6]) [2, 5, 6] >>> get_positive([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10]) [5, 3, 2, 3, 9, 123, 1]",return [e for e in l if e > 0],20260623
code_generation_31,code_generation,bigcode/humanevalpack,test,31,Python/31,"Write a Python function `is_prime(n)` to solve the following problem: Return true if a given number is prime, and false otherwise. >>> is_prime(6) False >>> is_prime(101) True >>> is_prime(11) True >>> is_prime(13441) True >>> is_prime(61) True >>> is_prime(4) False >>> is_prime(1) False","if n < 2: return False for k in range(2, n - 1): if n % k == 0: return False return True",20260623
code_generation_32,code_generation,bigcode/humanevalpack,test,32,Python/32,"Write a Python function `find_zero(xs: list)` to solve the following problem: xs are coefficients of a polynomial. find_zero find x such that poly(x) = 0. find_zero returns only only zero point, even if there are many. Moreover, find_zero only takes list xs having even number of coefficients and largest non zero coefficient as it guarantees a solution. >>> round(find_zero([1, 2]), 2) # f(x) = 1 + 2x -0.5 >>> round(find_zero([-6, 11, -6, 1]), 2) # (x - 1) * (x - 2) * (x - 3) = -6 + 11x - 6x^2 + x^3 1.0","begin, end = -1., 1. while poly(xs, begin) * poly(xs, end) > 0: begin *= 2.0 end *= 2.0 while end - begin > 1e-10: center = (begin + end) / 2.0 if poly(xs, center) * poly(xs, begin) > 0: begin = center else: end = center return begin",20260623
code_generation_33,code_generation,bigcode/humanevalpack,test,33,Python/33,"Write a Python function `sort_third(l: list)` to solve the following problem: This function takes a list l and returns a list l' such that l' is identical to l in the indicies that are not divisible by three, while its values at the indicies that are divisible by three are equal to the values of the corresponding indicies of l, but sorted. >>> sort_third([1, 2, 3]) [1, 2, 3] >>> sort_third([5, 6, 3, 4, 8, 9, 2]) [2, 6, 3, 4, 8, 9, 5]",l = list(l) l[::3] = sorted(l[::3]) return l,20260623
code_generation_35,code_generation,bigcode/humanevalpack,test,35,Python/35,"Write a Python function `max_element(l: list)` to solve the following problem: Return maximum element in the list. >>> max_element([1, 2, 3]) 3 >>> max_element([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10]) 123",m = l[0] for e in l: if e > m: m = e return m,20260623
open_ended_writing_37731,open_ended_writing,tatsu-lab/alpaca,train,37731,37731,"Given a sentence in English, please summarize the sentence in fewer than 100 words. Input: The sun rose above the horizon and its light shone through the window, illuminating the room with its warm golden rays.","The sun rose in all its glory, blanketing the room in a warm, golden hue. Its rays spilled through the window, creating a bright and inviting atmosphere that filled the room with a feeling of hope and possibility.",20260623
open_ended_writing_37741,open_ended_writing,tatsu-lab/alpaca,train,37741,37741,"Find five spelling errors in the following text. Input: As my place bacame rallty crowded, I felt so overwelmed, that it rased my heart beat.","1. ""place"" should be ""space"" 2. ""rally"" should be ""really"" 3. ""overwhelmed"" should be ""overwhelm"" 4. ""rased"" should be ""raised"" 5. ""heart"" should be ""heartbeat""",20260623
