item_id,task_type,dataset_name,source_index,perturbation_type,construction_method,method_reference,validation_check,original_prompt,perturbed_prompt
factual_qa_8554,factual_qa,mandarjoshi/trivia_qa,8554,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,Which Chilean socialist leader was deposed and killed by General Pinochet during a U.S. backed coup in 1973?,backed coup in 1973? Which Chilean socialist leader was deposed and killed by General Pinochet during a U.S.
factual_qa_8562,factual_qa,mandarjoshi/trivia_qa,8562,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,Matt Busby played for Manchester City from 1928 to 1936. Which club did he play for from 1936 to 1941?,Which club did he play for from 1936 to 1941? Matt Busby played for Manchester City from 1928 to 1936.
factual_qa_8574,factual_qa,mandarjoshi/trivia_qa,8574,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,Which U.S. president was born Leslie Lynch King Jr.?,president was born Leslie Lynch King Jr.? Which U.S.
factual_qa_298,factual_qa,mandarjoshi/trivia_qa,298,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"From which country do French fries originate? France, Belgium or Switzerland?","France, Belgium or Switzerland? From which country do French fries originate?"
factual_qa_299,factual_qa,mandarjoshi/trivia_qa,299,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,For what novel did J. K. Rowling win the 1999 Whitbread Children's book of the year award?,Rowling win the 1999 Whitbread Children's book of the year award? For what novel did J. K.
math_reasoning_1226,math_reasoning,openai/gsm8k,1226,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Nina makes one-of-a-kind jewelry and sells it at a local boutique. She charges $25.00 for her necklaces, $15.00 for bracelets and $10.00 for a pair of earrings. Over the weekend, she sold 5 necklaces, 10 bracelets, 20 earrings, and received 2 orders for a complete jewelry ensemble that Nina charged $45.00 for. How much money did she make over the weekend?","How much money did she make over the weekend? Nina makes one-of-a-kind jewelry and sells it at a local boutique. She charges $25.00 for her necklaces, $15.00 for bracelets and $10.00 for a pair of earrings. Over the weekend, she sold 5 necklaces, 10 bracelets, 20 earrings, and received 2 orders for a complete jewelry ensemble that Nina charged $45.00 for."
math_reasoning_1227,math_reasoning,openai/gsm8k,1227,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Francine has five full boxes of crayons and 5 loose crayons, and her friend has 27 loose crayons. They need to put all of their loose crayons in a box. How many more boxes do they need if Francine has a total of 85 crayons?","How many more boxes do they need if Francine has a total of 85 crayons? Francine has five full boxes of crayons and 5 loose crayons, and her friend has 27 loose crayons. They need to put all of their loose crayons in a box."
math_reasoning_1228,math_reasoning,openai/gsm8k,1228,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Making an equal number of drums of paint each day, a paint mixer takes three days to make 18 drums of paint. How many days will it take for him to make 360 drums of paint?","How many days will it take for him to make 360 drums of paint? Making an equal number of drums of paint each day, a paint mixer takes three days to make 18 drums of paint."
math_reasoning_1229,math_reasoning,openai/gsm8k,1229,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Itzayana is 4 inches taller than Zora, who is 8 inches shorter than Brixton. If Zara is 64 inches tall and has the same height as Brixton, calculate the average height of the four people.","If Zara is 64 inches tall and has the same height as Brixton, calculate the average height of the four people. Itzayana is 4 inches taller than Zora, who is 8 inches shorter than Brixton."
math_reasoning_1230,math_reasoning,openai/gsm8k,1230,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Casey wants to decorate her toenails and fingernails. First, she wants to do a base coat on each nail, then a coat of paint and finally a coat of glitter on every nail. It takes 20 minutes to apply each coat and 20 minutes for each coat to dry before applying the next one. Assuming Casey's nails will be done when all coats have been applied and dried, how many minutes will it take her to finish decorating her fingernails and toenails?","Assuming Casey's nails will be done when all coats have been applied and dried, how many minutes will it take her to finish decorating her fingernails and toenails? Casey wants to decorate her toenails and fingernails. First, she wants to do a base coat on each nail, then a coat of paint and finally a coat of glitter on every nail. It takes 20 minutes to apply each coat and 20 minutes for each coat to dry before applying the next one."
