item_id,task_type,dataset_name,source_index,perturbation_type,sample_id,model_name,temperature,top_p,max_output_tokens,original_prompt,perturbed_prompt,output_text
factual_qa_11652,factual_qa,rajpurkar/squad_v2,11652,reordering,2,qwen-plus,0.7,0.9,,"Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .

Question: What equation desribed the physics of force before the current Schrodinger equation?","Question: What equation desribed the physics of force before the current Schrodinger equation?

Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .","The equation that described the physics of force before the Schrödinger equation was **Newton’s second law of motion**, expressed as:

\[
\mathbf{F} = \frac{d\mathbf{p}}{dt} = m\mathbf{a} \quad \text{(for constant mass)}
\]

In classical mechanics, force \(\mathbf{F}\) is directly related to the time rate of change of momentum \(\mathbf{p} = m\mathbf{v}\), and is often derived from a potential energy \(V\) via:

\[
\mathbf{F} = -\nabla V(\mathbf{r})
\]

This Newtonian framework—governing dynamics through deterministic trajectories governed by forces—was the standard description of physical systems until quantum mechanics emerged in the 1920s. The Schrödinger equation replaced this *dynamical law for states* (i.e., how the wavefunction \(\psi\) evolves in time), not force itself:  

\[
i\hbar \frac{\partial}{\partial t} \psi(\mathbf{r},t) = \left[ -\frac{\hbar^2}{2m}\nabla^2 + V(\mathbf{r},t) \right] \psi(\mathbf{r},t)
\]

So while **force as a primary dynamical variable disappears in favor of potentials and operators**, the classical force concept persists indirectly—through the potential \(V\) in the Schrödinger Hamiltonian, which often originates from classical forces (e.g., Coulomb force → \(V(r) \propto 1/r\))."
factual_qa_11652,factual_qa,rajpurkar/squad_v2,11652,reordering,1,qwen-plus,0.7,0.9,,"Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .

Question: What equation desribed the physics of force before the current Schrodinger equation?","Question: What equation desribed the physics of force before the current Schrodinger equation?

Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .","Before the Schrödinger equation, the physics of force was described by **Newton’s second law of motion**:  
\[
\mathbf{F} = m\mathbf{a} = m\frac{d^2\mathbf{r}}{dt^2}
\]  
or, more generally in terms of momentum:  
\[
\mathbf{F} = \frac{d\mathbf{p}}{dt}, \quad \text{where} \quad \mathbf{p} = m\mathbf{v}.
\]

In classical mechanics, forces (e.g., gravitational, electromagnetic) were derived from potentials via \(\mathbf{F} = -\nabla V\), and the resulting equations of motion were deterministic, continuous, and governed by Newton’s laws (or equivalently, Lagrange’s or Hamilton’s equations).

The Schrödinger equation — \(i\hbar \frac{\partial}{\partial t} \psi = \hat{H}\psi\) — does *not* describe force directly; instead, it governs the evolution of the quantum state \(\psi\), with force-related information encoded indirectly through the Hamiltonian operator \(\hat{H} = \frac{\hat{\mathbf{p}}^2}{2m} + V(\hat{\mathbf{r}})\). So while Newton’s equation explicitly features force as a dynamical variable, the Schrödinger equation replaces force-based dynamics with wavefunction evolution driven by energy (Hamiltonian) operators.

Thus, the foundational equation describing force before quantum mechanics was **Newton’s second law**, not a “pre-Schrödinger wave equation” — because force was a central, classical concept long before quantum theory existed."
factual_qa_11652,factual_qa,rajpurkar/squad_v2,11652,reordering,4,qwen-plus,0.7,0.9,,"Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .

Question: What equation desribed the physics of force before the current Schrodinger equation?","Question: What equation desribed the physics of force before the current Schrodinger equation?

Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .","The equation that described the physics of force before the Schrödinger equation was **Newton’s second law of motion**, expressed as:

\[
\mathbf{F} = \frac{d\mathbf{p}}{dt} = m\mathbf{a}
\]

— often combined with Newton’s law of universal gravitation or other classical force laws (e.g., Coulomb’s law for electrostatic force: \( F = k \frac{|q_1 q_2|}{r^2} \)).

In classical mechanics, forces govern the deterministic evolution of particle trajectories via Newton’s equations (or equivalently, the Euler–Lagrange or Hamilton’s equations). The Schrödinger equation replaced this dynamical framework in quantum mechanics—not by directly describing “force”, but by governing the time evolution of the wavefunction \( \psi(\mathbf{r},t) \) under the influence of a potential energy \( V(\mathbf{r},t) \), from which classical forces would be derived as \( \mathbf{F} = -\nabla V \).

So, while *force* itself is not a fundamental observable in quantum mechanics (unlike position, momentum, or energy), its classical counterpart — and the associated potential — bridges the conceptual and mathematical transition from Newtonian dynamics to quantum theory.

✅ Short answer: **Newton’s second law (\( \mathbf{F} = m\mathbf{a} \))**."
factual_qa_11652,factual_qa,rajpurkar/squad_v2,11652,reordering,3,qwen-plus,0.7,0.9,,"Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .

Question: What equation desribed the physics of force before the current Schrodinger equation?","Question: What equation desribed the physics of force before the current Schrodinger equation?

Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .","Before the Schrödinger equation (formulated in 1926), the physics of force was described by **Newton’s second law of motion**,  

\[
\mathbf{F} = \frac{d\mathbf{p}}{dt} = m\mathbf{a},
\]

often combined with classical force laws such as:

- Newton’s law of universal gravitation:  
  \[
  \mathbf{F}_\text{grav} = -G \frac{m_1 m_2}{r^2} \hat{\mathbf{r}},
  \]

- Coulomb’s law for electrostatic force:  
  \[
  \mathbf{F}_\text{elec} = \frac{1}{4\pi\varepsilon_0} \frac{q_1 q_2}{r^2} \hat{\mathbf{r}},
  \]

and more generally, forces derived from potentials via  
\[
\mathbf{F} = -\nabla V(\mathbf{r}).
\]

These classical equations governed dynamics deterministically—force directly determined acceleration and trajectory. In contrast, the Schrödinger equation governs the evolution of the wavefunction \(\psi(\mathbf{r},t)\), and “force” loses its direct dynamical role; instead, the potential energy \(V(\mathbf{r})\) appears as an operator in  
\[
i\hbar \frac{\partial}{\partial t}\psi = \left[ -\frac{\hbar^2}{2m}\nabla^2 + V(\mathbf{r}) \right]\psi.
\]

So, the key pre-Schrödinger equation describing force-based dynamics is **Newton’s second law**, supplemented by classical potential-based force laws."
factual_qa_436,factual_qa,rajpurkar/squad_v2,436,reordering,1,qwen-plus,0.7,0.9,,"Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.

Question: What is the expression used to represent a complexity class of counting problems?","Question: What is the expression used to represent a complexity class of counting problems?

Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.","The expression used to represent a complexity class of counting problems is **#P** (pronounced ""sharp P"" or ""number P"")."
factual_qa_436,factual_qa,rajpurkar/squad_v2,436,reordering,2,qwen-plus,0.7,0.9,,"Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.

Question: What is the expression used to represent a complexity class of counting problems?","Question: What is the expression used to represent a complexity class of counting problems?

Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.","The expression used to represent a complexity class of counting problems is **#P** (pronounced ""sharp P"" or ""number P"").  

As stated in the context, **#P** is the class of function problems that count the number of accepting paths of a nondeterministic polynomial-time Turing machine — i.e., it captures the *number of solutions* to NP decision problems, rather than just whether a solution exists."
factual_qa_11652,factual_qa,rajpurkar/squad_v2,11652,reordering,5,qwen-plus,0.7,0.9,,"Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .

Question: What equation desribed the physics of force before the current Schrodinger equation?","Question: What equation desribed the physics of force before the current Schrodinger equation?

Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .","Before the Schrödinger equation, the physics of force was described by **Newton’s second law of motion**:

\[
\mathbf{F} = m\mathbf{a} = m \frac{d^2\mathbf{r}}{dt^2}
\]

or, more generally in terms of momentum:

\[
\mathbf{F} = \frac{d\mathbf{p}}{dt}, \quad \text{where} \quad \mathbf{p} = m\mathbf{v}.
\]

When forces arise from conservative potentials, they are related to the potential energy \(V(\mathbf{r})\) via:

\[
\mathbf{F} = -\nabla V(\mathbf{r}).
\]

These classical equations—rooted in Newtonian mechanics (1687) and later refined in Lagrangian and Hamiltonian formalisms—governed the dynamics of particles under forces *before* quantum mechanics. The Schrödinger equation (1926) did not replace “force” as a primary dynamical variable; instead, it replaced the trajectory-based description with a wavefunction evolution governed by the Hamiltonian operator \(\hat{H} = \frac{\hat{p}^2}{2m} + V(\hat{x})\), where the potential \(V\) (not force directly) enters the equation. So while force itself is not an operator in the basic formulation of non-relativistic QM, its underlying potential \(V\) carries over from classical physics—and Newton’s \(\mathbf{F} = -\nabla V\) remains conceptually central in constructing \(\hat{H}\)."
factual_qa_436,factual_qa,rajpurkar/squad_v2,436,reordering,3,qwen-plus,0.7,0.9,,"Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.

Question: What is the expression used to represent a complexity class of counting problems?","Question: What is the expression used to represent a complexity class of counting problems?

Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.","The expression used to represent a complexity class of counting problems is **#P** (pronounced ""sharp P"" or ""number P"")."
factual_qa_436,factual_qa,rajpurkar/squad_v2,436,reordering,5,qwen-plus,0.7,0.9,,"Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.

Question: What is the expression used to represent a complexity class of counting problems?","Question: What is the expression used to represent a complexity class of counting problems?

Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.","The expression used to represent a complexity class of counting problems is **#P** (pronounced ""sharp P"" or ""number P"")."
factual_qa_436,factual_qa,rajpurkar/squad_v2,436,reordering,4,qwen-plus,0.7,0.9,,"Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.

Question: What is the expression used to represent a complexity class of counting problems?","Question: What is the expression used to represent a complexity class of counting problems?

Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.","The expression used to represent a complexity class of counting problems is **#P** (pronounced ""sharp P"" or ""number P"").  

As stated in the context, **#P** is the class of function problems that count the number of accepting paths of a nondeterministic polynomial-time Turing machine — i.e., it captures the *number of solutions* to NP decision problems, rather than just whether a solution exists. It is the canonical complexity class for counting problems."
