item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,original_performance,perturbed_performance,absolute_performance_change,pdr,performance_dropped
code_generation_102,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_102,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_102,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_102,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_102,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_104,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_104,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_104,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_104,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_104,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_107,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_107,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_107,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_107,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_107,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_109,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_109,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_109,code_generation,paraphrasing,5,5,1.000000,0.600000,0.400000,0.400000,true
code_generation_109,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_109,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_11,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_11,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_11,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_11,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_11,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_110,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_110,code_generation,formatting_changes,5,5,1.000000,0.600000,0.400000,0.400000,true
code_generation_110,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_110,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_110,code_generation,surface_noise,5,5,1.000000,0.000000,1.000000,1.000000,true
code_generation_112,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_112,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_112,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_112,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_112,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_117,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_117,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_117,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_117,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_117,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_12,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_12,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_12,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_12,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_12,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_122,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_122,code_generation,formatting_changes,5,5,1.000000,0.800000,0.200000,0.200000,true
code_generation_122,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_122,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_122,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_128,code_generation,context_injection,5,5,0.600000,1.000000,-0.400000,-0.666667,false
code_generation_128,code_generation,formatting_changes,5,5,0.600000,1.000000,-0.400000,-0.666667,false
code_generation_128,code_generation,paraphrasing,5,5,0.600000,1.000000,-0.400000,-0.666667,false
code_generation_128,code_generation,reordering,5,5,0.600000,1.000000,-0.400000,-0.666667,false
code_generation_128,code_generation,surface_noise,5,5,0.600000,1.000000,-0.400000,-0.666667,false
code_generation_13,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_13,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_13,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_13,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_13,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_131,code_generation,context_injection,5,5,0.600000,0.200000,0.400000,0.666667,true
code_generation_131,code_generation,formatting_changes,5,5,0.600000,0.400000,0.200000,0.333333,true
code_generation_131,code_generation,paraphrasing,5,5,0.600000,0.800000,-0.200000,-0.333333,false
code_generation_131,code_generation,reordering,5,5,0.600000,0.600000,0.000000,0.000000,false
code_generation_131,code_generation,surface_noise,5,5,0.600000,0.000000,0.600000,1.000000,true
code_generation_135,code_generation,context_injection,5,5,1.000000,0.800000,0.200000,0.200000,true
code_generation_135,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_135,code_generation,paraphrasing,5,5,1.000000,0.000000,1.000000,1.000000,true
code_generation_135,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_135,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_138,code_generation,context_injection,5,5,0.800000,0.800000,0.000000,0.000000,false
code_generation_138,code_generation,formatting_changes,5,5,0.800000,0.600000,0.200000,0.250000,true
code_generation_138,code_generation,paraphrasing,5,5,0.800000,0.600000,0.200000,0.250000,true
code_generation_138,code_generation,reordering,5,5,0.800000,1.000000,-0.200000,-0.250000,false
code_generation_138,code_generation,surface_noise,5,5,0.800000,0.800000,0.000000,0.000000,false
code_generation_142,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_142,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_142,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_142,code_generation,reordering,5,5,1.000000,0.600000,0.400000,0.400000,true
code_generation_142,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_143,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_143,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_143,code_generation,paraphrasing,5,5,1.000000,0.000000,1.000000,1.000000,true
code_generation_143,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_143,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_145,code_generation,context_injection,5,5,0.000000,0.000000,0.000000,,false
code_generation_145,code_generation,formatting_changes,5,5,0.000000,0.000000,0.000000,,false
code_generation_145,code_generation,paraphrasing,5,5,0.000000,0.000000,0.000000,,false
